date,gold_999,gold_995,gold_916,gold_750,gold_585,silver_999,platinum_999
2017-01-01,,,25290.00,,,,
2018-01-01,,,26788.80,,,,
2019-01-01,,,28906.50,,,,
2020-01-01,,,35974.60,,,,
2021-01-01,,,44804.70,,,,
2021-02-12,,,43406.00,,,,
2021-02-16,,,43425.00,,,,
2021-02-19,,,42290.00,,,,
2021-02-23,,,42976.00,,,,
2021-02-24,,,42904.00,,,,
2021-03-01,,,42114.00,,,,
2021-03-04,,,41076.00,,,,
2021-03-05,,,40777.00,,,,
2021-03-08,,,40779.00,,,,
2021-03-09,,,40894.00,,,,
2021-03-15,,,41062.00,,,,
2021-03-16,,,41093.00,,,,
2021-03-17,,,41029.00,,,,
2021-03-19,,,41162.00,,,,
2021-03-22,,,41080.00,,,,
2021-03-23,,,41223.00,,,,
2021-03-24,,,41116.00,,,,
2021-03-25,,,41110.00,,,,
2021-03-26,,,40904.00,,,,
2021-03-30,,,40666.00,,,,
2021-03-31,,,40478.00,,,,
2021-04-01,,,41146.00,,,,
2021-04-05,,,41457.00,,,,
2021-04-06,,,41596.00,,,,
2021-04-07,,,42071.00,,,,
2021-04-08,,,42512.00,,,,
2021-04-12,,,42635.00,,,,
2021-04-15,,,42852.00,,,,
2021-04-16,,,43207.00,,,,
2021-04-23,,,43790.00,,,,
2021-04-28,,,42923.00,,,,
2021-04-30,,,42861.00,,,,
2021-05-04,,,43023.00,,,,
2021-05-06,,,43045.00,,,,
2021-05-12,,,43752.00,,,,
2021-05-18,,,44352.00,,,,
2021-05-19,,,44130.00,,,,
2021-07-02,,,43419.00,,,,
2021-07-26,,,43900.00,,,,
2021-09-15,,,43286.00,,,,
2021-09-17,,,42420.00,,,,
2021-10-14,,,44083.00,,,,
2021-10-18,,,43404.00,,,,
2021-10-25,,,44098.00,,,,
2021-10-27,,,43879.00,,,,
2021-10-29,,,43945.00,,,,
2021-11-02,,,43818.00,,,,
2021-11-03,,,43545.00,,,,
2021-11-12,,,44887.00,,,,
2021-11-15,,,45206.00,,,,
2021-11-17,,,45024.00,,,,
2021-11-18,,,45099.00,,,,
2021-11-26,,,44395.00,,,,
2021-12-01,,,43791.00,,,,
2021-12-02,,,43603.00,,,,
2021-12-03,,,43550.00,,,,
2021-12-06,,,43854.00,,,,
2021-12-07,,,43843.00,,,,
2021-12-16,,,44320.00,,,,
2021-12-20,,,44451.00,,,,
2021-12-31,,,44044.00,,,,
2022-01-07,,,43586.00,,,,
2022-01-20,,,44614.00,,,,
2022-02-18,,,45774.00,,,,
2022-02-28,,,46440.00,,,,
2022-03-04,,,49090.00,,,,
2022-03-07,,,49050.00,,,,
2022-03-09,,,48680.00,,,,
2022-03-11,52462.00,,48055.00,,,,
2022-03-14,,,47596.00,,,,
2022-03-17,,,47233.00,,,,
2022-03-25,,,47533.00,,,,
2022-03-30,,,47127.00,,,,
2022-04-08,,,47485.00,,,,
2022-04-11,,,48099.00,,,,
2022-04-25,,,47703.00,,,,
2022-04-29,,,47682.00,,,,
2022-05-20,,,46741.00,,,,
2022-06-30,,,59500.00,,,,
2022-07-08,,,46581.00,,,,
2022-07-14,,,46318.00,,,,
2022-07-29,,,47143.00,,,,
2022-08-02,,,47219.00,,,,
2022-08-08,,,47801.00,,,,
2022-08-10,,,47951.00,,,,
2022-08-16,,,47688.00,,,,
2022-08-18,,,47706.00,,,,
2022-08-26,,,55697.00,,,,
2022-08-30,,,46888.00,,,,
2022-09-06,,,46497.00,,,,
2022-09-09,,,46603.00,,,,
2022-09-23,,,45280.00,,,,
2022-10-25,,,46207.00,,,,
2022-11-11,,,47889.00,,,,
2022-11-25,,,48237.00,,,,
2022-12-01,,,48714.00,,,,
2023-01-03,,,50912.00,,,,
2023-01-25,,,67947.00,,,,
2023-02-01,,,53046.00,,,,
2023-02-03,,,52934.00,,,,
2023-02-08,,,52705.00,,,,
2023-02-13,,,52267.00,,,,
2023-02-14,,,52229.00,,,,
2023-02-27,,,50990.00,,,,
2023-03-29,,,54351.00,,,,
2023-05-15,,,72565.00,,,,
2023-06-01,,,71350.00,,,,
2023-06-02,,,55242.00,,,,
2023-06-07,,,54986.00,,,,
2023-06-13,,,54828.00,,,,
2023-06-19,,,72626.00,,,,
2023-07-11,,,53921.00,,,,
2023-07-26,,,54678.00,,,,
2023-09-12,,,53920.00,,,,
2023-09-22,,,54167.00,,,,
2023-10-06,,,51790.00,,,,
2023-10-13,,,53490.00,,,,
2023-10-23,,,55600.00,,,,
2023-11-16,,,55423.00,,,,
2023-12-07,,,57215.00,,,,
2024-01-29,,,57264.00,,,,
2024-01-31,,,57420.00,,,,
2024-02-08,,,57353.00,,,,
2024-02-09,,,57364.00,,,,
2024-02-19,,,56808.00,,,,
2024-02-23,,,56799.00,,,,
2024-02-28,,,56916.00,,,,
2024-03-05,,,59172.00,,,,
2024-03-28,,,61603.00,,,,
2024-04-01,,,62895.00,,,,
2024-04-05,,,64012.00,,,,
2024-04-12,,,67027.00,,,,
2024-04-16,,,67145.00,,,,
2024-04-23,,,65584.00,,,,
2024-04-30,,,65686.00,,,,
2024-05-31,,,66278.00,,,,
2024-06-03,,,65747.00,,,,
2024-06-07,,,65872.00,,,,
2024-06-14,,,65829.00,,,,
2024-06-20,,,66100.00,,,,
2024-07-05,,,66538.00,,,,
2024-07-16,,,67179.00,,,,
2024-07-19,,,67088.00,,,,
2024-08-02,,,64479.00,,,,
2024-08-05,,,63311.00,,,,
2024-08-08,,,63392.00,,,,
2024-08-14,,,64846.00,,,,
2024-08-20,,,65902.00,,,,
2024-08-30,,,65914.00,,,,
2024-09-02,,,65504.00,,,,
2024-09-10,,,65576.00,,,,
2024-09-12,,,65770.00,,,,
2024-09-16,,,67316.00,,,,
2024-09-18,,,67103.00,,,,
2024-09-20,,,67869.00,,,,
2024-09-30,,,68881.00,,,,
2024-10-04,,,69583.00,,,,
2024-10-09,,,68708.00,,,,
2024-10-16,,,70123.00,,,,
2024-10-25,,,71462.00,,,,
2024-10-28,,,71672.00,,,,
2024-11-11,,,70385.00,,,,
2024-11-14,,,67545.00,,,,
2024-11-21,,,70470.00,,,,
2024-11-22,,,71253.00,,,,
2025-01-03,,,70994.00,,,,
2025-01-24,,,73599.00,,,,
2025-01-30,,,74474.00,,,,
2025-01-31,,,75191.00,,,,
2025-02-14,,,78774.00,,,,
2025-02-24,,,79142.00,,,,
2025-03-07,,,78830.00,,,,
2025-04-04,,,83369.00,,,,
2025-04-17,,,86938.00,,,,
2025-05-12,,,85258.00,,,,
2025-12-22,133970.00,,122717.00,,,,
2025-12-23,136283.00,,124835.00,,,,
2026-01-01,133461.00,,122250.00,,,,
2026-01-02,134782.00,,123460.00,,,,
2026-01-12,140449.00,,128651.00,,,,
2026-01-19,143946.00,,131855.00,,,,
2026-05-19,159077,,145715,,,268713,
2026-05-20,158555,,145236,,,267302,
2026-05-21,158538,,145221,,,264679,
2026-05-22,158117,,144835,,,266000,
2026-05-25,158857,,145513,,,271100,
2026-05-26,157611,,144372,,,266213,
2026-05-27,156072,,142962,,,260917,
2026-05-29,156463,,143320,,,263350,
2026-06-01,155536,,142471,,,263250,
2026-06-02,156294,,143165,,,265300,
2026-06-03,155036,,142013,,,261575,
2026-06-04,156086,,142975,,,261088,
2026-06-05,154238,,141282,,,256908,
2026-06-08,151489,,138764,,,244300,
2026-06-09,152519,,139707,,,245938,
2026-06-10,147146,,134786,,,233283,
2026-06-11,144782,,132620,,,232591,
2026-06-12,147800,,135385,,,242582,
2026-06-15,150646,,137992,,,251488,
2026-06-16,150663,,138007,,,249179,
2026-06-17,150148,,137536,,,247688,
2026-06-18,148093,,135653,,,240191,
2026-06-19,144970,,132793,,,231973,
2026-06-22,147310,,134936,,,237801,
2026-06-23,144995,,132815,,,227483,
2026-06-24,142178,,130235,,,222035,
2026-06-25,139873,,128124,,,216541,
2026-06-29,141421,,129542,,,219980,
2026-06-30,141286,,129418,,,225425,
2026-07-01,141632,,129735,,,225430,
2026-07-02,143003,,130990,,,228850,
2026-07-03,146344,,134051,,,233858,
2026-07-06,145583,,133354,,,233158,
2026-07-07,144083,,131980,,,227200,
2026-07-08,142350,,130393,,,221550,
2026-07-09,143656,,131589,,,223794,
2026-07-10,143368,,131325,,,220390,
2026-07-13,142188,,130244,,,218722,
2026-07-14,141882,,129964,,,219975,
2026-07-15,141908,,129988,,,219711,
2026-07-16,141679,,129778,,,217434,
2026-07-17,141159,,129302,,,215474,
2026-07-20,142254,,130305,,,219575,
2026-07-21,143137,,131113,,,223204,
2026-07-22,145283,,133079,,,225460,
2026-07-23,144605,,132458,,,222480,
2026-07-24,143781,,131703,,,222721,
2026-07-27,144466,,132331,,,224447,
2026-07-28,142291,,130339,,,217349,
2026-07-29,142224,,130277,,,217355,
2026-07-30,143384,,131340,,,218665,
2026-07-31,142860,,130860,,,218295,
2026-08-03,142557,,130582,,,217287,
2026-08-04,142866,,130865,,,218635,
2026-08-05,145626,,133393,,,224562,
2026-08-06,148440,,135971,,,225674,
2026-08-07,149621,,137053,,,231381,
2026-08-10,150641,,137987,,,231373,
2026-08-11,152803,,139968,,,235352,
2026-08-12,153419,,140532,,,237214,
2026-08-13,153071,,140213,,,234228,
2026-08-14,152363,,139565,,,233842,
2026-08-17,154167,,141217,,,235642,
2026-08-18,154080,,141137,,,233164,
2026-08-19,153868,,140943,,,229225,
2026-08-20,157080,,143885,,,237766,
2026-08-21,160620,,147128,,,246630,
2026-08-24,162154,,148533,,,245391,
2026-08-25,162041,,148430,,,241848,
2026-08-26,161337,,147785,,,242959,
2026-08-27,158386,,145082,,,239500,
2026-08-28,159578,,146173,,,243892,
2026-08-31,155835,,142745,,,237199,
2026-09-01,153183,,140316,,,230419,
2026-09-02,151184,,138485,,,228396,
2026-09-03,153941,,141010,,,232533,
2026-09-04,154884,,141874,,,235456,
2026-09-07,152703,,139876,,,231650,
2026-09-08,153077,,140219,,,233826,
2026-09-09,153486,,140593,,,235249,
2026-09-10,153287,,140411,,,233642,
2026-09-11,151938,,139175,,,228920,
2026-09-15,150902,150298,138226,113177,88278,228741,61251
2026-09-16,152362,151752,139564,114272,89132,231337,61040
2026-09-17,151849,151241,139094,113887,88832,229642,60818
2026-09-18,153727,153111,140814,115295,89930,236908,62008
