id,tranche,redemption_date,price_inr,source_days,press_release_prid
SGB-2019-20-IX,2019-20 Series IX,2026-08-11,14957,2026-08-06;2026-08-07;2026-08-10,854
SGB-2020-21-IV,2020-21 Series IV,2026-07-14,14307,2026-07-09;2026-07-10;2026-07-13,661
SGB-2020-21-V,2020-21 Series V,2026-08-11,14957,2026-08-06;2026-08-07;2026-08-10,854
SGB-2020-21-VI,2020-21 Series VI,2026-09-08,15384,2026-09-03;2026-09-04;2026-09-07,
SGB-2020-21-X,2020-21 Series X,2026-07-18,14158,2026-07-15;2026-07-16;2026-07-17,63184
SGB-2020-21-XI,2020-21 Series XI,2026-08-07,14564,2026-08-04;2026-08-05;2026-08-06,829
SGB-2020-21-XII,2020-21 Series XII,2026-09-09,15355,2026-09-04;2026-09-07;2026-09-08,2757
SGB-2021-22-I,2021-22 Series I,2026-05-25,15840,2026-05-20;2026-05-21;2026-05-22,318
SGB-2021-22-IV,2021-22 Series IV,2026-07-20,14158,2026-07-15;2026-07-16;2026-07-17,63184
SGB-2021-22-VI,2021-22 Series VI,2026-09-07,15334,2026-09-02;2026-09-03;2026-09-04,63525
