date,currency,rate,unit
1998-08-25,GBP,69.5749,1
1998-08-25,JPY,29.4681,100
1998-08-25,USD,42.5007,1
1998-08-27,GBP,69.7788,1
1998-08-27,JPY,29.6191,100
1998-08-27,USD,42.5297,1
1998-08-28,GBP,70.5965,1
1998-08-28,JPY,29.8151,100
1998-08-28,USD,42.5405,1
1998-09-01,GBP,71.2657,1
1998-09-01,JPY,30.5548,100
1998-09-01,USD,42.5206,1
1998-09-02,GBP,71.0985,1
1998-09-02,JPY,30.8859,100
1998-09-02,USD,42.5297,1
1998-09-03,GBP,71.1744,1
1998-09-03,JPY,31.1566,100
1998-09-03,USD,42.5604,1
1998-09-04,GBP,71.1744,1
1998-09-04,JPY,31.482,100
1998-09-04,USD,42.5405,1
1998-09-10,GBP,71.1491,1
1998-09-10,JPY,31.3254,100
1998-09-10,USD,42.5405,1
1998-09-11,GBP,71.8907,1
1998-09-11,JPY,32.2654,100
1998-09-11,USD,42.5098,1
1998-09-14,GBP,71.0379,1
1998-09-14,JPY,32.1141,100
1998-09-14,USD,42.4899,1
1998-09-15,GBP,71.398,1
1998-09-15,JPY,31.904,100
1998-09-15,USD,42.5098,1
1998-09-16,GBP,71.0833,1
1998-09-16,JPY,31.6266,100
1998-09-16,USD,42.4899,1
1998-09-17,GBP,71.4286,1
1998-09-17,JPY,31.5766,100
1998-09-17,USD,42.4701,1
1998-09-18,GBP,71.495,1
1998-09-18,JPY,32.1636,100
1998-09-18,USD,42.5297,1
1998-09-21,GBP,71.5512,1
1998-09-21,JPY,31.7309,100
1998-09-21,USD,42.5206,1
1998-09-22,GBP,71.3114,1
1998-09-22,JPY,31.5686,100
1998-09-22,USD,42.5098,1
1998-09-23,GBP,71.6127,1
1998-09-23,JPY,31.3289,100
1998-09-23,USD,42.5405,1
1998-09-24,GBP,71.5359,1
1998-09-24,JPY,31.121,100
1998-09-24,USD,42.5297,1
1998-09-25,GBP,72.2335,1
1998-09-25,JPY,31.3913,100
1998-09-25,USD,42.5098,1
1998-09-28,GBP,72.197,1
1998-09-28,JPY,31.332,100
1998-09-28,USD,42.5297,1
1998-09-29,GBP,72.5426,1
1998-09-29,JPY,31.4974,100
1998-09-29,USD,42.4899,1
1998-10-05,GBP,71.8391,1
1998-10-05,JPY,31.4429,100
1998-10-05,USD,42.4394,1
1998-10-06,GBP,71.4388,1
1998-10-06,JPY,31.9349,100
1998-10-06,USD,42.3998,1
1998-10-07,GBP,71.3725,1
1998-10-07,JPY,32.7521,100
1998-10-07,USD,42.4502,1
1998-10-08,GBP,72.0098,1
1998-10-08,JPY,34.4654,100
1998-10-08,USD,42.3693,1
1998-10-09,GBP,72.5321,1
1998-10-09,JPY,36.3795,100
1998-10-09,USD,42.3603,1
1998-10-11,GBP,70.1804,1
1998-10-11,JPY,34.5602,100
1998-10-11,USD,42.2905,1
1998-10-13,GBP,71.5052,1
1998-10-13,JPY,35.6331,100
1998-10-13,USD,42.3496,1
1998-10-14,GBP,72.0773,1
1998-10-14,JPY,35.2833,100
1998-10-14,USD,42.3406,1
1998-10-15,GBP,72.3641,1
1998-10-15,JPY,35.8178,100
1998-10-15,USD,42.2905,1
1998-10-16,GBP,72.1813,1
1998-10-16,JPY,36.4185,100
1998-10-16,USD,42.2994,1
1998-10-20,GBP,71.5871,1
1998-10-20,JPY,36.7028,100
1998-10-20,USD,42.2994,1
1998-10-23,GBP,71.6692,1
1998-10-23,JPY,35.6111,100
1998-10-23,USD,42.2905,1
1998-10-26,GBP,71.0934,1
1998-10-26,JPY,35.5404,100
1998-10-26,USD,42.2708,1
1998-10-27,GBP,70.502,1
1998-10-27,JPY,35.407,100
1998-10-27,USD,42.2601,1
1998-10-28,GBP,70.7864,1
1998-10-28,JPY,35.8828,100
1998-10-28,USD,42.2708,1
1998-10-29,GBP,70.932,1
1998-10-29,JPY,36.203,100
1998-10-29,USD,42.2905,1
1998-10-30,GBP,71.0429,1
1998-10-30,JPY,36.6601,100
1998-10-30,USD,42.3693,1
1998-11-02,GBP,70.8918,1
1998-11-02,JPY,36.4954,100
1998-11-02,USD,42.2994,1
1998-11-03,GBP,70.2445,1
1998-11-03,JPY,36.6322,100
1998-11-03,USD,42.2905,1
1998-11-05,GBP,70.2099,1
1998-11-05,JPY,35.9355,100
1998-11-05,USD,42.3496,1
1998-11-06,GBP,70.3928,1
1998-11-06,JPY,35.8501,100
1998-11-06,USD,42.3298,1
1998-11-09,GBP,70.1066,1
1998-11-09,JPY,35.3827,100
1998-11-09,USD,42.2708,1
1998-11-10,GBP,70.1804,1
1998-11-10,JPY,34.5606,100
1998-11-10,USD,42.2905,1
1998-11-11,GBP,70.0624,1
1998-11-11,JPY,34.9032,100
1998-11-11,USD,42.2797,1
1998-11-12,GBP,70.3136,1
1998-11-12,JPY,34.3728,100
1998-11-12,USD,42.3298,1
1998-11-13,GBP,70.2988,1
1998-11-13,JPY,34.817,100
1998-11-13,USD,42.3209,1
1998-11-16,GBP,70.5866,1
1998-11-16,JPY,34.5777,100
1998-11-16,USD,42.3298,1
1998-11-17,GBP,70.9824,1
1998-11-17,JPY,34.94,100
1998-11-17,USD,42.3693,1
1998-11-18,GBP,71.0631,1
1998-11-18,JPY,34.9775,100
1998-11-18,USD,42.4394,1
1998-11-19,GBP,70.8516,1
1998-11-19,JPY,34.9102,100
1998-11-19,USD,42.4701,1
1998-11-20,GBP,70.5318,1
1998-11-20,JPY,35.4514,100
1998-11-20,USD,42.3998,1
1998-11-23,GBP,70.1902,1
1998-11-23,JPY,35.236,100
1998-11-23,USD,42.3801,1
1998-11-24,GBP,70.141,1
1998-11-24,JPY,34.9838,100
1998-11-24,USD,42.4304,1
1998-11-25,GBP,70.4424,1
1998-11-25,JPY,35.2326,100
1998-11-25,USD,42.4196,1
1998-11-26,GBP,70.4771,1
1998-11-26,JPY,34.884,100
1998-11-26,USD,42.4809,1
1998-11-27,GBP,70.5219,1
1998-11-27,JPY,34.6085,100
1998-11-27,USD,42.5206,1
1998-11-30,GBP,70.4077,1
1998-11-30,JPY,34.4415,100
1998-11-30,USD,42.6294,1
1998-12-01,GBP,70.1705,1
1998-12-01,JPY,34.6574,100
1998-12-01,USD,42.5804,1
1998-12-02,GBP,70.368,1
1998-12-02,JPY,34.6982,100
1998-12-02,USD,42.5695,1
1998-12-03,GBP,70.922,1
1998-12-03,JPY,35.6215,100
1998-12-03,USD,42.5496,1
1998-12-04,GBP,70.927,1
1998-12-04,JPY,35.8988,100
1998-12-04,USD,42.5405,1
1998-12-07,GBP,70.6364,1
1998-12-07,JPY,35.8107,100
1998-12-07,USD,42.4645,1
1998-12-08,GBP,70.2346,1
1998-12-08,JPY,35.4326,100
1998-12-08,USD,42.5894,1
1998-12-09,GBP,70.5268,1
1998-12-09,JPY,35.8523,100
1998-12-09,USD,42.5804,1
1998-12-10,GBP,70.5766,1
1998-12-10,JPY,36.2491,100
1998-12-10,USD,42.5804,1
1998-12-11,GBP,71.2149,1
1998-12-11,JPY,36.3799,100
1998-12-11,USD,42.5894,1
1998-12-14,GBP,71.7772,1
1998-12-14,JPY,36.7567,100
1998-12-14,USD,42.5894,1
1998-12-15,GBP,71.9373,1
1998-12-15,JPY,36.5533,100
1998-12-15,USD,42.5695,1
1998-12-16,GBP,71.7103,1
1998-12-16,JPY,36.6416,100
1998-12-16,USD,42.5496,1
1998-12-17,GBP,71.2403,1
1998-12-17,JPY,36.6178,100
1998-12-17,USD,42.5496,1
1998-12-18,GBP,71.3267,1
1998-12-18,JPY,36.6803,100
1998-12-18,USD,42.5405,1
1998-12-21,GBP,71.7257,1
1998-12-21,JPY,37.0725,100
1998-12-21,USD,42.5496,1
1998-12-22,GBP,71.5256,1
1998-12-22,JPY,36.3038,100
1998-12-22,USD,42.5297,1
1998-12-23,GBP,71.5359,1
1998-12-23,JPY,36.6068,100
1998-12-23,USD,42.5496,1
1998-12-24,GBP,71.2149,1
1998-12-24,JPY,36.5857,100
1998-12-24,USD,42.5405,1
1998-12-28,GBP,71.2911,1
1998-12-28,JPY,36.5763,100
1998-12-28,USD,42.5206,1
1998-12-29,GBP,71.2809,1
1998-12-29,JPY,36.8847,100
1998-12-29,USD,42.5297,1
1998-12-30,GBP,71.5308,1
1998-12-30,JPY,36.8887,100
1998-12-30,USD,42.5405,1
1998-12-31,GBP,70.7014,1
1998-12-31,JPY,37.4686,100
1998-12-31,USD,42.4809,1
1999-01-01,USD,42.4701,1
1999-01-04,EUR,50.4872,1
1999-01-04,GBP,70.7814,1
1999-01-04,JPY,37.4703,100
1999-01-04,USD,42.5098,1
1999-01-05,EUR,50.2412,1
1999-01-05,GBP,70.4473,1
1999-01-05,JPY,38.208,100
1999-01-05,USD,42.5604,1
1999-01-06,EUR,49.9276,1
1999-01-06,GBP,70.3235,1
1999-01-06,JPY,37.7229,100
1999-01-06,USD,42.5098,1
1999-01-07,EUR,49.5148,1
1999-01-07,GBP,70.3087,1
1999-01-07,JPY,38.0322,100
1999-01-07,USD,42.5206,1
1999-01-08,EUR,49.7265,1
1999-01-08,GBP,70.0427,1
1999-01-08,JPY,38.0799,100
1999-01-08,USD,42.5206,1
1999-01-11,EUR,49.2465,1
1999-01-11,GBP,69.7107,1
1999-01-11,JPY,38.384,100
1999-01-11,USD,42.5206,1
1999-01-12,EUR,48.7948,1
1999-01-12,GBP,69.2569,1
1999-01-12,JPY,38.1563,100
1999-01-12,USD,42.5007,1
1999-01-13,EUR,49.1884,1
1999-01-13,GBP,69.4734,1
1999-01-13,JPY,37.899,100
1999-01-13,USD,42.5007,1
1999-01-14,EUR,49.5025,1
1999-01-14,GBP,70.1066,1
1999-01-14,JPY,37.5813,100
1999-01-14,USD,42.5206,1
1999-01-15,EUR,49.8033,1
1999-01-15,GBP,70.4275,1
1999-01-15,JPY,37.7273,100
1999-01-15,USD,42.4701,1
1999-01-18,EUR,49.3097,1
1999-01-18,GBP,70.2593,1
1999-01-18,JPY,37.3329,100
1999-01-18,USD,42.5007,1
1999-01-19,EUR,49.1666,1
1999-01-19,GBP,70.1115,1
1999-01-19,JPY,37.0741,100
1999-01-19,USD,42.5007,1
1999-01-21,EUR,49.2053,1
1999-01-21,GBP,70.0771,1
1999-01-21,JPY,37.5612,100
1999-01-21,USD,42.5098,1
1999-01-22,EUR,49.334,1
1999-01-22,GBP,70.2445,1
1999-01-22,JPY,37.3533,100
1999-01-22,USD,42.5098,1
1999-01-25,EUR,49.2902,1
1999-01-25,GBP,70.3977,1
1999-01-25,JPY,37.1428,100
1999-01-25,USD,42.5098,1
1999-01-27,EUR,48.9932,1
1999-01-27,GBP,70.4176,1
1999-01-27,JPY,37.3949,100
1999-01-27,USD,42.4899,1
1999-01-28,EUR,48.6808,1
1999-01-28,GBP,69.9839,1
1999-01-28,JPY,36.7647,100
1999-01-28,USD,42.5007,1
1999-01-29,EUR,48.5296,1
1999-01-29,GBP,70.0084,1
1999-01-29,JPY,36.6221,100
1999-01-29,USD,42.5007,1
1999-02-01,EUR,48.2393,1
1999-02-01,GBP,69.891,1
1999-02-01,JPY,36.7485,100
1999-02-01,USD,42.5007,1
1999-02-02,EUR,48.1464,1
1999-02-02,GBP,69.8617,1
1999-02-02,JPY,37.407,100
1999-02-02,USD,42.5007,1
1999-02-03,EUR,48.1835,1
1999-02-03,GBP,69.4782,1
