date,AED,EUR,GBP,IDR,JPY,USD
1998-08-25,,,69.5749,,29.4681,42.5007
1998-08-27,,,69.7788,,29.6191,42.5297
1998-08-28,,,70.5965,,29.8151,42.5405
1998-09-01,,,71.2657,,30.5548,42.5206
1998-09-02,,,71.0985,,30.8859,42.5297
1998-09-03,,,71.1744,,31.1566,42.5604
1998-09-04,,,71.1744,,31.482,42.5405
1998-09-10,,,71.1491,,31.3254,42.5405
1998-09-11,,,71.8907,,32.2654,42.5098
1998-09-14,,,71.0379,,32.1141,42.4899
1998-09-15,,,71.398,,31.904,42.5098
1998-09-16,,,71.0833,,31.6266,42.4899
1998-09-17,,,71.4286,,31.5766,42.4701
1998-09-18,,,71.495,,32.1636,42.5297
1998-09-21,,,71.5512,,31.7309,42.5206
1998-09-22,,,71.3114,,31.5686,42.5098
1998-09-23,,,71.6127,,31.3289,42.5405
1998-09-24,,,71.5359,,31.121,42.5297
1998-09-25,,,72.2335,,31.3913,42.5098
1998-09-28,,,72.197,,31.332,42.5297
1998-09-29,,,72.5426,,31.4974,42.4899
1998-10-05,,,71.8391,,31.4429,42.4394
1998-10-06,,,71.4388,,31.9349,42.3998
1998-10-07,,,71.3725,,32.7521,42.4502
1998-10-08,,,72.0098,,34.4654,42.3693
1998-10-09,,,72.5321,,36.3795,42.3603
1998-10-11,,,70.1804,,34.5602,42.2905
1998-10-13,,,71.5052,,35.6331,42.3496
1998-10-14,,,72.0773,,35.2833,42.3406
1998-10-15,,,72.3641,,35.8178,42.2905
1998-10-16,,,72.1813,,36.4185,42.2994
1998-10-20,,,71.5871,,36.7028,42.2994
1998-10-23,,,71.6692,,35.6111,42.2905
1998-10-26,,,71.0934,,35.5404,42.2708
1998-10-27,,,70.502,,35.407,42.2601
1998-10-28,,,70.7864,,35.8828,42.2708
1998-10-29,,,70.932,,36.203,42.2905
1998-10-30,,,71.0429,,36.6601,42.3693
1998-11-02,,,70.8918,,36.4954,42.2994
1998-11-03,,,70.2445,,36.6322,42.2905
1998-11-05,,,70.2099,,35.9355,42.3496
1998-11-06,,,70.3928,,35.8501,42.3298
1998-11-09,,,70.1066,,35.3827,42.2708
1998-11-10,,,70.1804,,34.5606,42.2905
1998-11-11,,,70.0624,,34.9032,42.2797
1998-11-12,,,70.3136,,34.3728,42.3298
1998-11-13,,,70.2988,,34.817,42.3209
1998-11-16,,,70.5866,,34.5777,42.3298
1998-11-17,,,70.9824,,34.94,42.3693
1998-11-18,,,71.0631,,34.9775,42.4394
1998-11-19,,,70.8516,,34.9102,42.4701
1998-11-20,,,70.5318,,35.4514,42.3998
1998-11-23,,,70.1902,,35.236,42.3801
1998-11-24,,,70.141,,34.9838,42.4304
1998-11-25,,,70.4424,,35.2326,42.4196
1998-11-26,,,70.4771,,34.884,42.4809
1998-11-27,,,70.5219,,34.6085,42.5206
1998-11-30,,,70.4077,,34.4415,42.6294
1998-12-01,,,70.1705,,34.6574,42.5804
1998-12-02,,,70.368,,34.6982,42.5695
1998-12-03,,,70.922,,35.6215,42.5496
1998-12-04,,,70.927,,35.8988,42.5405
1998-12-07,,,70.6364,,35.8107,42.4645
1998-12-08,,,70.2346,,35.4326,42.5894
1998-12-09,,,70.5268,,35.8523,42.5804
1998-12-10,,,70.5766,,36.2491,42.5804
1998-12-11,,,71.2149,,36.3799,42.5894
1998-12-14,,,71.7772,,36.7567,42.5894
1998-12-15,,,71.9373,,36.5533,42.5695
1998-12-16,,,71.7103,,36.6416,42.5496
1998-12-17,,,71.2403,,36.6178,42.5496
1998-12-18,,,71.3267,,36.6803,42.5405
1998-12-21,,,71.7257,,37.0725,42.5496
1998-12-22,,,71.5256,,36.3038,42.5297
1998-12-23,,,71.5359,,36.6068,42.5496
1998-12-24,,,71.2149,,36.5857,42.5405
1998-12-28,,,71.2911,,36.5763,42.5206
1998-12-29,,,71.2809,,36.8847,42.5297
1998-12-30,,,71.5308,,36.8887,42.5405
1998-12-31,,,70.7014,,37.4686,42.4809
1999-01-01,,,,,,42.4701
1999-01-04,,50.4872,70.7814,,37.4703,42.5098
1999-01-05,,50.2412,70.4473,,38.208,42.5604
1999-01-06,,49.9276,70.3235,,37.7229,42.5098
1999-01-07,,49.5148,70.3087,,38.0322,42.5206
1999-01-08,,49.7265,70.0427,,38.0799,42.5206
1999-01-11,,49.2465,69.7107,,38.384,42.5206
1999-01-12,,48.7948,69.2569,,38.1563,42.5007
1999-01-13,,49.1884,69.4734,,37.899,42.5007
1999-01-14,,49.5025,70.1066,,37.5813,42.5206
1999-01-15,,49.8033,70.4275,,37.7273,42.4701
1999-01-18,,49.3097,70.2593,,37.3329,42.5007
1999-01-19,,49.1666,70.1115,,37.0741,42.5007
1999-01-21,,49.2053,70.0771,,37.5612,42.5098
1999-01-22,,49.334,70.2445,,37.3533,42.5098
1999-01-25,,49.2902,70.3977,,37.1428,42.5098
1999-01-27,,48.9932,70.4176,,37.3949,42.4899
1999-01-28,,48.6808,69.9839,,36.7647,42.5007
1999-01-29,,48.5296,70.0084,,36.6221,42.5007
1999-02-01,,48.2393,69.891,,36.7485,42.5007
1999-02-02,,48.1464,69.8617,,37.407,42.5007
1999-02-03,,48.1835,69.4782,,37.8,42.4809
1999-02-04,,48.0423,69.541,,37.3357,42.4592
1999-02-05,,48.223,69.8275,,37.9564,42.4701
1999-02-08,,47.7555,69.3963,,37.4169,42.4701
1999-02-09,,48.0885,69.5846,,37.1142,42.4394
1999-02-10,,47.9478,69.3433,,36.8212,42.4394
1999-02-11,,48.0885,69.0703,,37.1804,42.4592
1999-02-12,,47.7076,68.88,,37.1293,42.4502
1999-02-15,,47.8606,69.2521,,37.1237,42.4196
1999-02-16,,47.6236,69.1133,,36.3782,42.4899
1999-02-17,,47.7259,69.5797,,35.9932,42.4899
1999-02-18,,47.8263,69.4927,,35.8076,42.4502
1999-02-19,,47.5308,69.43,,35.3814,42.4394
1999-02-22,,46.7771,68.7758,,34.7398,42.3998
1999-02-23,,46.7968,68.9417,,35.2638,42.4394
1999-02-24,,46.7333,68.4744,,35.0014,42.4899
1999-03-01,,46.7596,68.1106,,35.6403,42.5098
1999-03-03,,46.4835,68.686,,35.126,42.5496
1999-03-04,,46.2642,68.573,,34.7837,42.5297
1999-03-05,,46.0575,68.4416,,34.6364,42.5297
1999-03-08,,46.0426,68.1338,,34.8819,42.5007
1999-03-09,,46.322,68.4322,,35.0398,42.4701
1999-03-10,,46.2171,68.6106,,35.0122,42.4394
1999-03-11,,46.5246,69.0417,,35.4429,42.4502
1999-03-12,,46.7355,69.3049,,35.4174,42.4304
1999-03-15,,46.2813,69.056,,35.85,42.4196
1999-03-16,,45.9876,68.7238,,36.0412,42.4106
1999-03-17,,46.5571,69.0608,,35.7283,42.4196
1999-03-19,,46.5636,69.0894,,36.1468,42.3998
1999-03-22,,46.0596,68.9322,,36.0581,42.3908
1999-03-23,,46.2235,68.9988,,35.7871,42.3908
1999-03-24,,46.2792,69.3866,,36.0498,42.3998
1999-03-26,,46.0363,68.956,,35.7052,42.3998
1999-03-30,,45.5726,68.6059,,35.3245,42.4304
1999-03-31,,45.5208,68.3527,,35.326,42.4304
1999-04-05,,45.6704,68.0874,,34.9626,42.4394
1999-04-06,,45.6059,68.0133,,35.089,42.5098
1999-04-07,,46.0999,67.8334,,35.2616,42.6403
1999-04-08,,46.0702,68.2967,,35.3132,42.6694
1999-04-09,,45.8968,68.6012,,35.3182,42.6803
1999-04-12,,46.2428,68.8848,,35.4607,42.7004
1999-04-13,,46.1936,69.0084,,35.4794,42.7095
1999-04-15,,46.2171,69.0512,,36.0173,42.8302
1999-04-16,,45.6225,68.7332,,36.1898,42.7606
1999-04-19,,45.8358,69.1898,,36.2307,42.8504
1999-04-20,,45.6725,68.9988,,36.2474,42.7899
1999-04-21,,45.3576,68.8421,,35.9803,42.7095
1999-04-22,,45.4752,68.686,,35.591,42.7405
1999-04-23,,45.583,69.0799,,35.7567,42.7405
1999-04-26,,45.6038,69.3722,,36.1193,42.9498
1999-04-28,,45.7875,69.3433,,35.9681,42.8192
1999-04-29,,45.4649,69.1419,,35.9273,42.8192
1999-05-03,,45.2755,68.8658,,35.7663,42.7807
1999-05-04,,45.2448,68.9085,,35.5553,42.7497
1999-05-05,,45.5145,69.5846,,35.3282,42.7296
1999-05-06,,45.9369,69.808,,35.4767,42.7296
1999-05-07,,46.0766,70.0182,,35.4522,42.7497
1999-05-10,,45.8379,69.5943,,35.4019,42.7296
1999-05-11,,46.1021,69.4444,,35.3744,42.7204
1999-05-12,,45.8652,69.3529,,35.4081,42.7497
1999-05-13,,45.5664,69.2233,,35.2286,42.7497
1999-05-14,,45.5851,69.0465,,35.0306,42.7606
1999-05-17,,45.5456,69.0465,,35.5871,42.7405
1999-05-18,,45.7164,69.3097,,34.8091,42.7296
1999-05-19,,45.4794,69.1276,,34.5377,42.7296
1999-05-20,,45.6288,69.0322,,34.2834,42.7606
1999-05-21,,45.3268,68.7144,,34.5077,42.7497
1999-05-24,,45.1732,68.4229,,34.4757,42.7497
1999-05-25,,45.3104,68.306,,34.7681,42.7405
1999-05-26,,45.3597,68.6248,,35.1059,42.8101
1999-05-27,,44.9135,68.4416,,35.0634,42.9
1999-05-28,,44.9035,68.7096,,35.6941,42.9904
1999-05-31,,44.837,68.686,,35.3014,42.8394
1999-06-01,,44.7447,68.6248,,35.3932,42.8706
1999-06-02,,44.8994,69.1994,,35.6511,42.9406
1999-06-03,,44.3754,68.8895,,35.2709,42.9295
1999-06-04,,44.2929,68.88,,35.3125,42.9406
1999-06-07,,44.2517,69.1754,,35.5792,43.0108
1999-06-08,,44.3872,68.8089,,35.4474,42.9793
1999-06-09,,45.1508,69.1085,,36.093,43.0496
1999-06-10,,45.0187,68.8658,,36.4747,43.02
1999-06-11,,45.2468,69.3385,,36.2442,43.0608
1999-06-14,,45.2714,69.43,,35.7628,43.1295
1999-06-15,,44.9762,69.4637,,35.8742,43.1798
1999-06-16,,44.9762,68.738,,35.8661,43.1891
1999-06-17,,44.5097,68.7144,,35.9525,43.1704
1999-06-18,,44.5077,68.7853,,36.1405,43.1499
1999-06-21,,44.9055,68.8326,,35.4361,43.1704
1999-06-22,,44.6429,68.6483,,35.4321,43.1891
1999-06-23,,44.6728,68.7994,,35.4528,43.2395
1999-06-24,,44.7768,68.278,,35.5237,43.3294
1999-06-25,,45.2509,68.8895,,35.687,43.3896
1999-06-28,,45.159,68.7711,,35.7948,43.3595
1999-06-29,,44.8712,68.5401,,35.7328,43.3595
1999-06-30,,44.8169,68.2454,,35.8584,43.3595
1999-07-01,,44.9984,68.5119,,35.9225,43.3802
1999-07-02,,44.4267,68.3854,,35.8602,43.3802
1999-07-05,,44.3066,68.2827,,35.3451,43.2807
1999-07-06,,44.1345,68.1106,,35.4478,43.2807
1999-07-07,,44.4346,67.6041,,35.4604,43.29
1999-07-08,,44.2008,67.5584,,35.4263,43.3595
1999-07-09,,44.401,67.659,,35.4016,43.3896
1999-07-12,,43.9928,67.0421,,35.4237,43.2395
1999-07-13,,43.7273,67.2495,,35.3837,43.2302
1999-07-14,,43.8712,67.2314,,35.6957,43.2395
1999-07-15,,44.2419,67.714,,35.8774,43.2694
1999-07-16,,44.1326,67.815,,35.7807,43.2507
1999-07-19,,43.8654,67.3446,,35.9238,43.2208
1999-07-20,,44.5177,68.1385,,36.5421,43.2003
1999-07-21,,45.1998,67.9948,,36.4141,43.2601
1999-07-22,,45.4236,68.2082,,36.4756,43.2601
1999-07-23,,45.4628,68.4275,,36.9426,43.2601
1999-07-26,,45.5851,68.5025,,37.1416,43.2807
1999-07-27,,46.0936,68.8184,,37.1512,43.29
1999-07-28,,46.2792,69.0608,,37.4131,43.3294
1999-07-29,,46.2022,69.2233,,37.4546,43.32
1999-07-30,,46.4296,69.9056,,37.5749,43.29
1999-08-02,,46.1958,70.0035,,37.8771,43.32
1999-08-03,,46.1958,70.1016,,37.5519,43.3802
1999-08-04,,46.6396,70.4027,,37.6662,43.3595
1999-08-05,,46.6875,70.1311,,37.8329,43.4009
1999-08-06,,46.6679,70.1754,,37.9564,43.4499
1999-08-09,,46.5484,70.0182,,37.7972,43.5407
1999-08-10,,46.644,69.7934,,37.8702,43.4499
1999-08-11,,46.5723,70.2297,,37.9163,43.4896
1999-08-12,,46.3328,69.9741,,37.5924,43.4707
1999-08-13,,46.4403,70.1656,,37.8242,43.4594
1999-08-16,,45.958,69.7983,,37.814,43.4197
1999-08-17,,45.8737,69.5459,,37.8206,43.4197
1999-08-18,,45.6433,69.7545,,38.1461,43.4197
1999-08-19,,45.6184,69.5604,,38.9666,43.4707
1999-08-20,,46.3886,70.492,,38.9287,43.5502
1999-08-23,,46.4145,70.3928,,39.3314,43.5199
1999-08-24,,45.438,69.6379,,38.6669,43.5104
1999-08-25,,45.8737,69.3577,,39.1771,43.5199
1999-08-26,,45.4587,69.1133,,39.2656,43.5199
1999-08-27,,45.5768,69.1324,,39.0013,43.4991
1999-08-30,,45.5456,69.1181,,39.2066,43.4896
1999-08-31,,45.7666,69.3001,,39.265,43.4802
1999-09-01,,46.0236,69.9105,,39.7883,43.4707
1999-09-02,,45.9897,69.6767,,39.8995,43.5199
1999-09-03,,46.5354,69.9692,,39.6542,43.5104
1999-09-07,,45.9834,69.7301,,39.6211,43.4896
1999-09-08,,46.2535,69.9986,,39.2318,43.5104
1999-09-09,,46.215,70.6714,,39.9468,43.5104
1999-09-10,,45.8421,71.0631,,40.0074,43.5407
1999-09-14,,45.1896,70.0182,,40.9851,43.5199
1999-09-15,,44.9297,69.8812,,41.2677,43.5104
1999-09-16,,45.4298,70.4722,,41.5248,43.5407
1999-09-17,,45.1916,70.6414,,40.8764,43.5407
1999-09-20,,45.4133,70.7464,,40.5022,43.5502
1999-09-21,,45.2018,70.6215,,40.818,43.5502
1999-09-22,,45.7687,71.0682,,41.6249,43.5502
1999-09-23,,45.5208,71.0379,,42.0575,43.5806
1999-09-24,,45.8316,71.7463,,41.628,43.5692
1999-09-27,,45.5768,71.623,,41.7397,43.5692
1999-09-28,,45.5664,71.736,,41.0322,43.5692
1999-09-29,,45.9601,71.8597,,41.0357,43.6091
1999-10-01,,46.6548,71.8752,,41.1845,43.5901
1999-10-04,,46.5983,72.1397,,41.1777,43.5806
1999-10-05,,46.7355,72.0721,,40.9433,43.5901
1999-10-06,,46.6853,72.0929,,40.6435,43.5806
1999-10-07,,46.6418,72.0565,,40.3802,43.5407
1999-10-08,,46.5723,71.7978,,40.377,43.4802
1999-10-11,,46.0045,71.5512,,40.4367,43.3294
1999-10-12,,46.2086,71.7618,,40.7325,43.3708
1999-10-13,,46.9329,72.1189,,40.9586,43.4991
1999-10-14,,46.9153,71.8442,,40.4662,43.4292
1999-10-15,,47.0301,72.3066,,40.8647,43.4405
1999-10-18,,47.1876,72.3589,,41.2269,43.3595
1999-10-20,,46.9594,72.5374,,40.818,43.3896
1999-10-21,,46.8494,72.4218,,40.9423,43.4499
1999-10-22,,46.8187,72.7802,,41.2247,43.4197
1999-10-25,,46.3435,72.0202,,41.0598,43.3896
1999-10-26,,46.2963,72.1085,,41.3242,43.3802
1999-10-27,,45.9284,71.7051,,41.7287,43.4009
1999-10-28,,45.6142,71.4439,,41.645,43.3896
1999-10-29,,45.754,71.1541,,41.3035,43.4197
1999-11-01,,45.7289,71.3165,,41.625,43.3802
1999-11-02,,45.6934,71.3776,,41.3685,43.4103
1999-11-03,,45.6684,71.4898,,41.8011,43.4009
1999-11-04,,45.583,71.4133,,41.4903,43.4197
1999-11-05,,45.1386,70.5866,,41.3777,43.4292
1999-11-08,,45.2981,70.4325,,40.8814,43.4103
1999-11-11,,45.2776,70.6015,,41.2841,43.4009
1999-11-12,,45.1467,70.3334,,41.3964,43.4009
1999-11-15,,44.833,70.1066,,41.413,43.3896
1999-11-16,,44.8491,70.4275,,41.2848,43.3802
1999-11-17,,44.7948,70.2494,,40.9903,43.4009
1999-11-18,,45.1447,70.4821,,41.0189,43.3896
1999-11-19,,44.7267,70.2001,,40.987,43.3896
1999-11-22,,44.7347,70.3235,,40.935,43.3802
1999-11-24,,44.5732,70.4821,,41.4862,43.3802
1999-11-25,,44.2909,69.9399,,41.5151,43.4009
1999-11-26,,44.1365,69.9986,,41.651,43.3896
1999-11-29,,44.1482,69.7301,,41.9891,43.4009
1999-11-30,,43.827,69.5991,,42.2688,43.4103
1999-12-01,,43.8078,69.3241,,42.5152,43.4103
1999-12-02,,43.7025,69.4975,,42.3298,43.4103
1999-12-03,,43.4518,69.3914,,42.3675,43.4009
1999-12-06,,43.4575,69.5024,,42.5026,43.4197
1999-12-07,,44.3912,70.4473,,42.1141,43.4405
1999-12-08,,44.6828,70.7764,,42.3266,43.4802
1999-12-09,,44.6449,70.7714,,42.1758,43.4594
1999-12-10,,44.2968,70.6514,,42.4112,43.4802
1999-12-13,,44.1092,70.5816,,42.405,43.4802
1999-12-14,,44.1306,70.7614,,42.2453,43.5407
1999-12-15,,43.7484,70.1508,,42.0274,43.5407
1999-12-16,,43.8231,69.9252,,42.2319,43.5199
1999-12-17,,44.2674,70.1311,,42.2226,43.5104
1999-12-20,,43.9155,69.8812,,42.2226,43.4896
1999-12-21,,44.0548,70.1361,,42.4466,43.4991
